Year,Month,Day,Global Solar Radiation (MJ/m&sup2;) - King's Park_Value,completeness
1980,2,19,16.86,C
1980,2,20,15.46,C
1980,2,21,5.00,C
1980,2,22,3.58,C
1980,2,23,5.18,C
1980,2,24,5.35,C
1980,2,25,7.13,C
1980,2,26,4.44,C
1980,2,27,10.63,C
1980,2,28,14.48,C
1980,2,29,14.28,C
1980,3,1,3.34,C
1980,3,2,5.91,C
1980,3,3,5.50,C
1980,3,4,6.37,C
1980,3,5,2.50,C
1980,3,6,4.51,C
1980,3,7,13.08,C
1980,3,8,2.66,C
1980,3,9,7.08,C
1980,3,10,4.70,C
1980,3,11,10.36,C
1980,3,12,4.77,C
1980,3,13,7.32,C
1980,3,14,5.34,C
1980,3,15,7.18,C
1980,3,16,9.74,C
1980,3,17,13.27,C
1980,3,18,14.17,C
1980,3,19,4.71,C
1980,3,20,17.87,C
1980,3,21,15.47,C
1980,3,22,15.02,C
1980,3,23,9.57,C
1980,3,24,18.38,C
1980,3,25,18.32,C
1980,3,26,10.92,C
1980,3,27,9.80,C
1980,3,28,10.00,C
1980,3,29,15.51,C
1980,3,30,7.23,C
1980,3,31,13.91,C
1980,4,1,5.02,C
1980,4,2,8.10,C
1980,4,3,13.18,C
1980,4,4,15.20,C
1980,4,5,18.74,C
1980,4,6,14.03,C
1980,4,7,3.48,C
1980,4,8,7.07,C
1980,4,9,9.93,C
1980,4,10,6.89,C
1980,4,11,4.53,C
1980,4,12,5.35,C
1980,4,13,1.19,C
1980,4,14,7.70,C
1980,4,15,21.48,C
1980,4,16,10.03,C
1980,4,17,22.94,C
1980,4,18,21.59,C
1980,4,19,17.81,C
1980,4,20,17.33,C
1980,4,21,4.59,C
1980,4,22,2.86,C
1980,4,23,4.27,C
1980,4,24,7.46,C
1980,4,25,1.85,C
1980,4,26,3.38,C
1980,4,27,10.34,C
1980,4,28,11.26,C
1980,4,29,19.15,C
1980,4,30,14.55,C
1980,5,1,5.28,C
1980,5,2,14.46,C
1980,5,3,7.06,C
1980,5,4,5.71,C
1980,5,5,15.65,C
1980,5,6,8.40,C
1980,5,7,2.97,C
1980,5,8,2.19,C
1980,5,9,8.11,C
1980,5,10,11.51,C
1980,5,11,8.29,C
1980,5,12,18.99,C
1980,5,13,18.86,C
1980,5,14,12.17,C
1980,5,15,12.16,C
1980,5,16,6.50,C
1980,5,17,14.88,C
1980,5,18,22.83,C
1980,5,19,21.21,C
1980,5,20,20.25,C
1980,5,21,15.00,C
1980,5,22,9.62,C
1980,5,23,8.21,C
1980,5,24,21.11,C
1980,5,25,15.54,C
1980,5,26,8.39,C
1980,5,27,8.76,C
1980,5,28,16.91,C
1980,5,29,15.32,C
1980,5,30,2.22,C
1980,5,31,17.00,C
1980,6,1,4.08,C
1980,6,2,7.23,C
1980,6,3,4.32,C
1980,6,4,6.08,C
1980,6,5,13.93,C
1980,6,6,17.65,C
1980,6,7,15.15,C
1980,6,8,22.36,C
1980,6,9,23.96,C
1980,6,10,18.52,C
1980,6,11,20.72,C
1980,6,12,24.16,C
1980,6,13,23.57,C
1980,6,14,19.88,C
1980,6,15,21.41,C
1980,6,16,22.16,C
1980,6,17,22.63,C
1980,6,18,16.67,C
1980,6,19,19.54,C
1980,6,20,24.65,C
1980,6,21,24.77,C
1980,6,22,21.93,C
1980,6,23,23.04,C
1980,6,24,16.85,C
1980,6,25,16.09,C
1980,6,26,13.44,C
1980,6,27,6.76,C
1980,6,28,10.55,C
1980,6,29,9.19,C
1980,6,30,23.68,C
1980,7,1,22.39,C
1980,7,2,23.55,C
1980,7,3,22.35,C
1980,7,4,19.76,C
1980,7,5,17.93,C
1980,7,6,21.70,C
1980,7,7,19.36,C
1980,7,8,18.57,C
1980,7,9,23.23,C
1980,7,10,16.04,C
1980,7,11,10.77,C
1980,7,12,3.83,C
1980,7,13,2.16,C
1980,7,14,7.04,C
1980,7,15,19.51,C
1980,7,16,20.07,C
1980,7,17,23.02,C
1980,7,18,15.32,C
1980,7,19,10.03,C
1980,7,20,24.37,C
1980,7,21,18.54,C
1980,7,22,7.22,C
1980,7,23,5.71,C
1980,7,24,19.92,C
1980,7,25,20.97,C
1980,7,26,20.03,C
1980,7,27,3.60,C
1980,7,28,2.94,C
1980,7,29,18.78,C
1980,7,30,17.59,C
1980,7,31,21.30,C
1980,8,1,20.45,C
1980,8,2,23.74,C
1980,8,3,19.78,C
1980,8,4,23.72,C
1980,8,5,8.62,C
1980,8,6,13.66,C
1980,8,7,1.99,C
1980,8,8,19.15,C
1980,8,9,6.64,C
1980,8,10,20.76,C
1980,8,11,20.98,C
1980,8,12,18.05,C
1980,8,13,20.94,C
1980,8,14,23.66,C
1980,8,15,22.23,C
1980,8,16,14.93,C
1980,8,17,20.58,C
1980,8,18,10.31,C
1980,8,19,17.57,C
1980,8,20,14.31,C
1980,8,21,23.12,C
1980,8,22,20.27,C
1980,8,23,15.95,C
1980,8,24,20.05,C
1980,8,25,18.26,C
1980,8,26,15.56,C
1980,8,27,12.46,C
1980,8,28,14.99,C
1980,8,29,14.14,C
1980,8,30,11.22,C
1980,8,31,11.40,C
1980,9,1,3.44,C
1980,9,2,6.33,C
1980,9,3,19.30,C
1980,9,4,16.84,C
1980,9,5,9.90,C
1980,9,6,20.01,C
1980,9,7,18.64,C
1980,9,8,20.00,C
1980,9,9,21.29,C
1980,9,10,12.26,C
1980,9,11,21.41,C
1980,9,12,20.11,C
1980,9,13,14.46,C
1980,9,14,7.64,C
1980,9,15,10.17,C
1980,9,16,10.73,C
1980,9,17,18.82,C
1980,9,18,19.93,C
1980,9,19,9.83,C
1980,9,20,11.26,C
1980,9,21,14.66,C
1980,9,22,6.61,C
1980,9,23,13.17,C
1980,9,24,13.82,C
1980,9,25,12.42,C
1980,9,26,12.94,C
1980,9,27,15.36,C
1980,9,28,17.02,C
1980,9,29,12.40,C
1980,9,30,13.74,C
1980,10,1,19.06,C
1980,10,2,19.41,C
1980,10,3,15.35,C
1980,10,4,18.02,C
1980,10,5,19.41,C
1980,10,6,18.94,C
1980,10,7,15.73,C
1980,10,8,17.86,C
1980,10,9,13.04,C
1980,10,10,13.83,C
1980,10,11,14.22,C
1980,10,12,6.79,C
1980,10,13,17.93,C
1980,10,14,13.36,C
1980,10,15,16.25,C
1980,10,16,16.61,C
1980,10,17,15.93,C
1980,10,18,7.22,C
1980,10,19,13.07,C
1980,10,20,9.58,C
1980,10,21,15.76,C
1980,10,22,7.04,C
1980,10,23,0.61,C
1980,10,24,1.36,C
1980,10,25,13.28,C
1980,10,26,9.96,C
1980,10,27,4.28,C
1980,10,28,9.28,C
1980,10,29,15.58,C
1980,10,30,15.56,C
1980,10,31,16.06,C
1980,11,1,14.74,C
1980,11,2,15.49,C
1980,11,3,15.09,C
1980,11,4,14.64,C
1980,11,5,15.67,C
1980,11,6,13.26,C
1980,11,7,13.78,C
1980,11,8,11.82,C
1980,11,9,13.37,C
1980,11,10,13.94,C
1980,11,11,15.70,C
1980,11,12,13.50,C
1980,11,13,12.98,C
1980,11,14,7.70,C
1980,11,15,7.65,C
1980,11,16,12.39,C
1980,11,17,9.37,C
1980,11,18,6.69,C
1980,11,19,2.90,C
1980,11,20,13.72,C
1980,11,21,15.21,C
1980,11,22,14.36,C
1980,11,23,8.90,C
1980,11,24,13.29,C
1980,11,25,13.23,C
1980,11,26,4.97,C
1980,11,27,13.29,C
1980,11,28,14.69,C
1980,11,29,14.60,C
1980,11,30,13.73,C
1980,12,1,13.33,C
1980,12,2,13.76,C
1980,12,3,13.18,C
1980,12,4,13.02,C
1980,12,5,12.76,C
1980,12,6,11.37,C
1980,12,7,3.39,C
1980,12,8,7.69,C
1980,12,9,13.20,C
1980,12,10,14.07,C
1980,12,11,9.38,C
1980,12,12,9.64,C
1980,12,13,13.80,C
1980,12,14,6.16,C
1980,12,15,10.80,C
1980,12,16,11.74,C
1980,12,17,13.13,C
1980,12,18,10.60,C
1980,12,19,11.77,C
1980,12,20,11.75,C
1980,12,21,11.28,C
1980,12,22,6.51,C
1980,12,23,14.78,C
1980,12,24,13.25,C
1980,12,25,9.24,C
1980,12,26,8.65,C
1980,12,27,9.04,C
1980,12,28,10.08,C
1980,12,29,11.71,C
1980,12,30,12.30,C
1980,12,31,9.13,C
1981,1,1,12.73,C
1981,1,2,12.44,C
1981,1,3,13.57,C
1981,1,4,14.38,C
1981,1,5,14.43,C
1981,1,6,11.42,C
1981,1,7,2.17,C
1981,1,8,9.66,C
1981,1,9,13.55,C
1981,1,10,14.82,C
1981,1,11,15.72,C
1981,1,12,15.89,C
1981,1,13,15.49,C
1981,1,14,16.20,C
1981,1,15,13.30,C
1981,1,16,13.71,C
1981,1,17,13.69,C
1981,1,18,15.46,C
1981,1,19,16.27,C
1981,1,20,11.89,C
1981,1,21,12.73,C
1981,1,22,9.75,C
1981,1,23,3.09,C
1981,1,24,12.96,C
1981,1,25,2.79,C
1981,1,26,6.91,C
1981,1,27,8.46,C
1981,1,28,7.61,C
1981,1,29,8.83,C
1981,1,30,10.82,C
1981,1,31,7.51,C
1981,2,1,14.79,C
1981,2,2,14.63,C
1981,2,3,9.36,C
1981,2,4,7.01,C
1981,2,5,17.71,C
1981,2,6,15.54,C
1981,2,7,6.10,C
1981,2,8,15.60,C
1981,2,9,16.57,C
1981,2,10,17.84,C
1981,2,11,18.33,C
1981,2,12,9.00,C
1981,2,13,8.78,C
1981,2,14,15.47,C
1981,2,15,4.29,C
1981,2,16,9.58,C
1981,2,17,2.05,C
1981,2,18,1.88,C
1981,2,19,3.86,C
1981,2,20,3.01,C
1981,2,21,2.09,C
1981,2,22,6.29,C
1981,2,23,7.26,C
1981,2,24,2.95,C
1981,2,25,1.25,C
1981,2,26,1.79,C
1981,2,27,1.89,C
1981,2,28,1.74,C
1981,3,1,6.11,C
1981,3,2,2.06,C
1981,3,3,12.47,C
1981,3,4,9.94,C
1981,3,5,5.96,C
1981,3,6,15.20,C
1981,3,7,5.99,C
1981,3,8,15.06,C
1981,3,9,5.77,C
1981,3,10,11.24,C
1981,3,11,6.05,C
1981,3,12,16.90,C
1981,3,13,12.44,C
1981,3,14,16.04,C
1981,3,15,2.73,C
1981,3,16,6.12,C
1981,3,17,4.44,C
1981,3,18,3.26,C
